,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
163,20170815,J888,1778.5,1761.0,1788.5,1712.0,429064.0,94.48554725883469,73.88172673626303,101.14935780774019,50.931862537265104,3.4315465762123156
164,20170815,RB888,3021.0,3074.0,3083.0,2969.0,4333142.0,150.545911036691,62.67305711339445,81.70846070467273,26.104513755624797,3.4315465762123156
165,20170816,I888,553.0,559.0,562.5,547.5,2356192.0,16.81469308342048,59.14074388993327,34.302629287828566,26.048535896529295,4.110690834816169
166,20170816,J888,1777.0,1780.0,1793.0,1757.0,315136.0,91.16776913233207,73.72128587098317,101.75065286778225,51.465568608103595,4.110690834816169
167,20170816,RB888,2981.0,3016.0,3043.0,2970.0,3306254.0,135.52058556381917,61.06297384702669,66.15078594993167,26.104513755624787,4.110690834816169
168,20170817,I888,584.0,554.5,591.0,553.5,3966858.0,17.10013349571591,63.84224033923822,74.27244288558127,40.767796367227845,6.893847665312816
169,20170817,J888,1911.5,1788.0,1931.0,1787.0,494756.0,98.13329043819635,78.12720501518598,146.73329945225586,64.22242656791421,6.893847665312816
170,20170817,RB888,3083.0,3000.0,3134.0,2995.0,5557758.0,130.2460869531792,63.53422210694553,84.89459717991885,34.47723177534927,6.893847665312816
171,20170818,I888,610.0,581.5,613.5,576.0,3216212.0,19.180403973021726,67.12436256520803,116.40907206727057,49.28634286192317,5.132101866028128
172,20170818,J888,1926.5,1903.0,1930.5,1886.0,271428.0,103.65327575615902,78.54226280194015,154.78346124975096,64.2224265679142,5.132101866028128
173,20170818,RB888,3169.0,3074.0,3174.0,3050.0,3634340.0,131.41443898685839,65.44698476894644,97.4862795049609,37.789275835669855,5.132101866028128
174,20170821,I888,625.5,602.0,630.5,590.5,4259458.0,21.81529720140452,68.86718535174715,140.1860333349072,54.56396325611792,5.9137138283234325
175,20170821,J888,1972.0,1903.0,2001.0,1842.0,536724.0,110.38797549296305,79.7481649256321,155.1781970649893,68.9817810585163,5.9137138283234325
176,20170821,RB888,3236.0,3142.0,3268.0,3077.0,4277788.0,136.12146358168184,66.84843985173765,109.42536145133002,44.79873423647949,5.9137138283234325
177,20170822,I888,635.5,629.0,639.0,623.5,2784600.0,24.42082685603509,69.93105589377437,165.17309467338075,56.95804465320047,9.256512209282137
178,20170822,J888,2015.5,1976.0,2018.0,1959.5,335638.0,117.84216012935508,80.81452019638915,170.94477439126246,70.01011798070034,9.256512209282137
179,20170822,RB888,3207.0,3244.0,3272.0,3161.0,3381224.0,135.96312764151799,65.65606034570266,106.37109833044788,45.08021187102535,9.256512209282137
180,20170823,I888,608.0,632.0,632.0,594.5,3691470.0,24.008177650084804,63.73514287893249,114.22781569965841,31.6576479784284,13.39303340276723
